# Natural system
SN2004ef ; u ; 0.03097 ; 1.363 ; 264.41 ; 17.764 ; templates/SN2004ef_u.dat
SN2004ef ; B ; 0.03097 ; 1.363 ; 264.41 ; 17.061 ; templates/SN2004ef_B.dat
SN2004ef ; V ; 0.03097 ; 1.363 ; 264.41 ; 16.905 ; templates/SN2004ef_V.dat
SN2004ef ; g ; 0.03097 ; 1.363 ; 264.41 ; 16.969 ; templates/SN2004ef_g.dat
SN2004ef ; r ; 0.03097 ; 1.363 ; 264.41 ; 16.862 ; templates/SN2004ef_r.dat
SN2004ef ; i ; 0.03097 ; 1.363 ; 264.41 ; 17.413 ; templates/SN2004ef_i.dat
SN2004eo ; u ; 0.01569 ; 1.379 ; 278.84 ; 16.030 ; templates/SN2004eo_u.dat
SN2004eo ; B ; 0.01569 ; 1.379 ; 278.84 ; 15.500 ; templates/SN2004eo_B.dat
SN2004eo ; V ; 0.01569 ; 1.379 ; 278.84 ; 15.347 ; templates/SN2004eo_V.dat
SN2004eo ; g ; 0.01569 ; 1.379 ; 278.84 ; 15.364 ; templates/SN2004eo_g.dat
SN2004eo ; r ; 0.01569 ; 1.379 ; 278.84 ; 15.352 ; templates/SN2004eo_r.dat
SN2004eo ; i ; 0.01569 ; 1.379 ; 278.84 ; 15.755 ; templates/SN2004eo_i.dat
SN2004eo ; Y ; 0.01569 ; 1.379 ; 278.84 ; 15.904 ; templates/SN2004eo_Y.dat
SN2004eo ; J ; 0.01569 ; 1.379 ; 278.84 ; 15.569 ; templates/SN2004eo_J.dat
SN2004eo ; H ; 0.01569 ; 1.379 ; 278.84 ; 15.811 ; templates/SN2004eo_H.dat
SN2004ey ; u ; 0.01583 ; 0.927 ; 304.40 ; 15.676 ; templates/SN2004ey_u.dat
SN2004ey ; B ; 0.01583 ; 0.927 ; 304.40 ; 15.261 ; templates/SN2004ey_B.dat
SN2004ey ; V ; 0.01583 ; 0.927 ; 304.40 ; 15.210 ; templates/SN2004ey_V.dat
SN2004ey ; g ; 0.01583 ; 0.927 ; 304.40 ; 15.209 ; templates/SN2004ey_g.dat
SN2004ey ; r ; 0.01583 ; 0.927 ; 304.40 ; 15.238 ; templates/SN2004ey_r.dat
SN2004ey ; i ; 0.01583 ; 0.927 ; 304.40 ; 15.754 ; templates/SN2004ey_i.dat
SN2004gs ; u ; 0.02663 ; 1.612 ; 356.49 ; 17.961 ; templates/SN2004gs_u.dat
SN2004gs ; B ; 0.02663 ; 1.612 ; 356.49 ; 17.266 ; templates/SN2004gs_B.dat
SN2004gs ; V ; 0.02663 ; 1.612 ; 356.49 ; 17.074 ; templates/SN2004gs_V.dat
SN2004gs ; g ; 0.02663 ; 1.612 ; 356.49 ; 17.140 ; templates/SN2004gs_g.dat
SN2004gs ; r ; 0.02663 ; 1.612 ; 356.49 ; 17.050 ; templates/SN2004gs_r.dat
SN2004gs ; i ; 0.02663 ; 1.612 ; 356.49 ; 17.444 ; templates/SN2004gs_i.dat
SN2005A  ; u ; 0.01913 ; 1.119 ; 380.33 ; 19.873 ; templates/SN2005A_u.dat
SN2005A  ; B ; 0.01913 ; 1.119 ; 380.33 ; 18.276 ; templates/SN2005A_B.dat
SN2005A  ; V ; 0.01913 ; 1.119 ; 380.33 ; 17.227 ; templates/SN2005A_V.dat
SN2005A  ; g ; 0.01913 ; 1.119 ; 380.33 ; 17.822 ; templates/SN2005A_g.dat
SN2005A  ; r ; 0.01913 ; 1.119 ; 380.33 ; 16.845 ; templates/SN2005A_r.dat
SN2005M  ; u ; 0.02200 ; 0.830 ; 405.86 ; 16.336 ; templates/SN2005M_u.dat
SN2005M  ; B ; 0.02200 ; 0.830 ; 405.86 ; 16.047 ; templates/SN2005M_B.dat
SN2005M  ; V ; 0.02200 ; 0.830 ; 405.86 ; 16.010 ; templates/SN2005M_V.dat
SN2005M  ; g ; 0.02200 ; 0.830 ; 405.86 ; 15.965 ; templates/SN2005M_g.dat
SN2005M  ; r ; 0.02200 ; 0.830 ; 405.86 ; 16.099 ; templates/SN2005M_r.dat
SN2005M  ; i ; 0.02200 ; 0.830 ; 405.86 ; 16.563 ; templates/SN2005M_i.dat
SN2005M  ; Y ; 0.02200 ; 0.830 ; 405.86 ; 16.627 ; templates/SN2005M_Y.dat
SN2005M  ; J ; 0.02200 ; 0.830 ; 405.86 ; 16.459 ; templates/SN2005M_J.dat
SN2005M  ; H ; 0.02200 ; 0.830 ; 405.86 ; 16.458 ; templates/SN2005M_H.dat
SN2005W  ; u ; 0.00888 ; 1.224 ; 412.34 ; 15.039 ; templates/SN2005W_u.dat
SN2005W  ; B ; 0.00888 ; 1.224 ; 412.34 ; 14.423 ; templates/SN2005W_B.dat
SN2005W  ; V ; 0.00888 ; 1.224 ; 412.34 ; 14.271 ; templates/SN2005W_V.dat
SN2005W  ; g ; 0.00888 ; 1.224 ; 412.34 ; 14.317 ; templates/SN2005W_g.dat
SN2005W  ; r ; 0.00888 ; 1.224 ; 412.34 ; 14.189 ; templates/SN2005W_r.dat
SN2005W  ; i ; 0.00888 ; 1.224 ; 412.34 ; 14.652 ; templates/SN2005W_i.dat
SN2005al ; u ; 0.01239 ; 1.155 ; 430.28 ; 15.590 ; templates/SN2005al_u.dat
SN2005al ; B ; 0.01239 ; 1.155 ; 430.28 ; 15.084 ; templates/SN2005al_B.dat
SN2005al ; V ; 0.01239 ; 1.155 ; 430.28 ; 15.078 ; templates/SN2005al_V.dat
SN2005al ; g ; 0.01239 ; 1.155 ; 430.28 ; 15.035 ; templates/SN2005al_g.dat
SN2005al ; r ; 0.01239 ; 1.155 ; 430.28 ; 15.108 ; templates/SN2005al_r.dat
SN2005am ; u ; 0.00789 ; 1.473 ; 436.93 ; 14.411 ; templates/SN2005am_u.dat
SN2005am ; B ; 0.00789 ; 1.473 ; 436.93 ; 13.858 ; templates/SN2005am_B.dat
SN2005am ; V ; 0.00789 ; 1.473 ; 436.93 ; 13.763 ; templates/SN2005am_V.dat
SN2005am ; g ; 0.00789 ; 1.473 ; 436.93 ; 13.777 ; templates/SN2005am_g.dat
SN2005am ; r ; 0.00789 ; 1.473 ; 436.93 ; 13.734 ; templates/SN2005am_r.dat
SN2005am ; i ; 0.00789 ; 1.473 ; 436.93 ; 14.251 ; templates/SN2005am_i.dat
SN2005el ; u ; 0.01490 ; 1.345 ; 647.56 ; 15.649 ; templates/SN2005el_u.dat
SN2005el ; B ; 0.01490 ; 1.345 ; 647.56 ; 15.277 ; templates/SN2005el_B.dat
SN2005el ; V ; 0.01490 ; 1.345 ; 647.56 ; 15.193 ; templates/SN2005el_V.dat
SN2005el ; g ; 0.01490 ; 1.345 ; 647.56 ; 15.161 ; templates/SN2005el_g.dat
SN2005el ; r ; 0.01490 ; 1.345 ; 647.56 ; 15.275 ; templates/SN2005el_r.dat
SN2005el ; i ; 0.01490 ; 1.345 ; 647.56 ; 15.654 ; templates/SN2005el_i.dat
SN2005el ; Y ; 0.01490 ; 1.345 ; 647.56 ; 15.560 ; templates/SN2005el_Y.dat
SN2005el ; J ; 0.01490 ; 1.345 ; 647.56 ; 15.515 ; templates/SN2005el_J.dat
SN2005el ; H ; 0.01490 ; 1.345 ; 647.56 ; 15.642 ; templates/SN2005el_H.dat
SN2005eq ; B ; 0.02896 ; 0.722 ; 654.24 ; 16.608 ; templates/SN2005eq_B.dat
SN2005eq ; V ; 0.02896 ; 0.722 ; 654.24 ; 16.451 ; templates/SN2005eq_V.dat
SN2005eq ; g ; 0.02896 ; 0.722 ; 654.24 ; 16.484 ; templates/SN2005eq_g.dat
SN2005eq ; r ; 0.02896 ; 0.722 ; 654.24 ; 16.479 ; templates/SN2005eq_r.dat
SN2005eq ; Y ; 0.02896 ; 0.722 ; 654.24 ; 16.99  ; templates/SN2005eq_Y.dat
SN2005eq ; J ; 0.02896 ; 0.722 ; 654.24 ; 16.89  ; templates/SN2005eq_J.dat
SN2005eq ; H ; 0.02896 ; 0.722 ; 654.24 ; 17.082 ; templates/SN2005eq_H.dat
SN2005hc ; u ; 0.04591 ; 0.903 ; 667.39 ; 17.860 ; templates/SN2005hc_u.dat
SN2005hc ; B ; 0.04591 ; 0.903 ; 667.39 ; 17.429 ; templates/SN2005hc_B.dat
SN2005hc ; V ; 0.04591 ; 0.903 ; 667.39 ; 17.400 ; templates/SN2005hc_V.dat
SN2005hc ; g ; 0.04591 ; 0.903 ; 667.39 ; 17.372 ; templates/SN2005hc_g.dat
SN2005hc ; r ; 0.04591 ; 0.903 ; 667.39 ; 17.460 ; templates/SN2005hc_r.dat
