#LAMBDA i
3800.0 0.00000
3805.0 0.00000
3810.0 0.00000
3815.0 0.00000
3820.0 0.00000
3825.0 0.00000
3830.0 0.00000
3835.0 0.00000
3840.0 0.00000
3845.0 0.00000
3850.0 0.00000
3855.0 0.00000
3860.0 0.00000
3865.0 0.00000
3870.0 0.00000
3875.0 0.00000
3880.0 0.00000
3885.0 0.00000
3890.0 0.00000
3895.0 0.00000
3900.0 0.00000
3905.0 0.00000
3910.0 0.00000
3915.0 0.00000
3920.0 0.00000
3925.0 0.00000
3930.0 0.00000
3935.0 0.00000
3940.0 0.00000
3945.0 0.00000
3950.0 0.00000
3955.0 0.00000
3960.0 0.00000
3965.0 0.00000
3970.0 0.00000
3975.0 0.00000
3980.0 0.00000
3985.0 0.00000
3990.0 0.00000
3995.0 0.00000
4000.0 0.00000
4005.0 0.00000
4010.0 0.00000
4015.0 0.00000
4020.0 0.00000
4025.0 0.00000
4030.0 0.00000
4035.0 0.00000
4040.0 0.00000
4045.0 0.00000
4050.0 0.00000
4055.0 0.00000
4060.0 0.00000
4065.0 0.00000
4070.0 0.00000
4075.0 0.00000
4080.0 0.00000
4085.0 0.00000
4090.0 0.00000
4095.0 0.00000
4100.0 0.00000
4105.0 0.00000
4110.0 0.00000
4115.0 0.00000
4120.0 0.00000
4125.0 0.00000
4130.0 0.00000
4135.0 0.00000
4140.0 0.00000
4145.0 0.00000
4150.0 0.00000
4155.0 0.00000
4160.0 0.00000
4165.0 0.00000
4170.0 0.00000
4175.0 0.00000
4180.0 0.00000
4185.0 0.00000
4190.0 0.00000
4195.0 0.00000
4200.0 0.00000
4205.0 0.00000
4210.0 0.00000
4215.0 0.00000
4220.0 0.00000
4225.0 0.00000
4230.0 0.00000
4235.0 0.00000
4240.0 0.00000
4245.0 0.00000
4250.0 0.00000
4255.0 0.00000
4260.0 0.00000
4265.0 0.00000
4270.0 0.00000
4275.0 0.00000
4280.0 0.00000
4285.0 0.00000
4290.0 0.00000
4295.0 0.00000
4300.0 0.00000
4305.0 0.00000
4310.0 0.00000
4315.0 0.00000
4320.0 0.00000
4325.0 0.00000
4330.0 0.00000
4335.0 0.00000
4340.0 0.00000
4345.0 0.00000
4350.0 0.00000
4355.0 0.00000
4360.0 0.00000
4365.0 0.00000
4370.0 0.00000
4375.0 0.00000
4380.0 0.00000
4385.0 0.00000
4390.0 0.00000
4395.0 0.00000
4400.0 0.00000
4405.0 0.00000
4410.0 0.00000
4415.0 0.00000
4420.0 0.00000
4425.0 0.00000
4430.0 0.00000
4435.0 0.00000
4440.0 0.00000
4445.0 0.00000
4450.0 0.00000
4455.0 0.00000
4460.0 0.00000
4465.0 0.00000
4470.0 0.00000
4475.0 0.00000
4480.0 0.00000
4485.0 0.00000
4490.0 0.00000
4495.0 0.00000
4500.0 0.00000
4505.0 0.00000
4510.0 0.00000
4515.0 0.00000
4520.0 0.00000
4525.0 0.00000
4530.0 0.00000
4535.0 0.00000
4540.0 0.00000
4545.0 0.00000
4550.0 0.00000
4555.0 0.00000
4560.0 0.00000
4565.0 0.00000
4570.0 0.00000
4575.0 0.00000
4580.0 0.00000
4585.0 0.00000
4590.0 0.00000
4595.0 0.00000
4600.0 0.00000
4605.0 0.00000
4610.0 0.00000
4615.0 0.00000
4620.0 0.00000
4625.0 0.00000
4630.0 0.00000
4635.0 0.00000
4640.0 0.00000
4645.0 0.00000
4650.0 0.00000
4655.0 0.00000
4660.0 0.00000
4665.0 0.00000
4670.0 0.00000
4675.0 0.00000
4680.0 0.00000
4685.0 0.00000
4690.0 0.00000
4695.0 0.00000
4700.0 0.00000
4705.0 0.00000
4710.0 0.00000
4715.0 0.00000
4720.0 0.00000
4725.0 0.00000
4730.0 0.00000
4735.0 0.00000
4740.0 0.00000
4745.0 0.00000
4750.0 0.00000
4755.0 0.00000
4760.0 0.00000
4765.0 0.00000
4770.0 0.00000
4775.0 0.00000
4780.0 0.00000
