10lac_stis_003            10lac_stis_003.dat            None CALSPEC 10LAC Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1732526_stisnic_003       1732526_stisnic_003.dat       None CALSPEC 1732526 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1740346_stisnic_003       1740346_stisnic_003.dat       None CALSPEC 1740346 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1743045_stisnic_003       1743045_stisnic_003.dat       None CALSPEC 1743045 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1757132_stis_003          1757132_stis_003.dat          None CALSPEC 1757132 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1802271_stisnic_003       1802271_stisnic_003.dat       None CALSPEC 1802271 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1805292_stisnic_003       1805292_stisnic_003.dat       None CALSPEC 1805292 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1808347_stis_003          1808347_stis_003.dat          None CALSPEC 1808347 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1812095_stisnic_003       1812095_stisnic_003.dat       None CALSPEC 1812095 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
1812524_nic_004           1812524_nic_004.dat           None CALSPEC 1812524 Flux scale of Bohlin & Gordon Review, in prep.
2m003618_stisnic_006      2m003618_stisnic_006.dat      None CALSPEC 2M0036+18 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
2m055914_stisnic_006      2m055914_stisnic_006.dat      None CALSPEC 2M0559-14 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
agk_81d266_005            agk_81d266_005.dat            None CALSPEC AGK+81D266 
agk_81d266_stisnic_006    agk_81d266_stisnic_006.dat    None CALSPEC AGK+81D266 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
alpha_lyr_004             alpha_lyr_004.dat             None CALSPEC ALPHA-LYR 
alpha_lyr_mod_002         alpha_lyr_mod_002.dat         None CALSPEC ALPHA_LYR_MOD Bohlin, R. C. 2014, AJ, 147, 127
alpha_lyr_stis_008        alpha_lyr_stis_008.dat        None CALSPEC ALPHA_LYR Flux scale of Bohlin, et al. 2014, PASP,  126, 711
