bd+1_2447      bd+1_2447.dat   bd+1_2447_mags.dat   Stritzinger et al. (2005) PASP 117 810S
bd+5_1668      bd+5_1668.dat   bd+5_1668_mags.dat   Stritzinger et al. (2005) PASP 117 810S
bd+5_2468      bd+5_2468.dat   bd+5_2468_mags.dat   Stritzinger et al. (2005) PASP 117 810S
bd+5_2529      bd+5_2529.dat   bd+5_2529_mags.dat   Stritzinger et al. (2005) PASP 117 810S
bd-0_454       bd-0_454.dat    bd-0_454_mags.dat    Stritzinger et al. (2005) PASP 117 810S
cd-32_9927     cd-32_9927.dat  cd-32_9927_mags.dat  Stritzinger et al. (2005) PASP 117 810S
eg21           eg21.dat        eg21_mags.dat        Stritzinger et al. (2005) PASP 117 810S
g162-66        g162-66.dat     g162-66_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd118246v      hd118246v.dat   hd118246v_mags.dat   Stritzinger et al. (2005) PASP 117 810S
hd11983        hd11983.dat     hd11983_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd12021        hd12021.dat     hd12021_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd121968       hd121968.dat    hd121968_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd129975       hd129975.dat    hd129975_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd16581        hd16581.dat     hd16581_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd21197        hd21197.dat     hd21197_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd36395        hd36395.dat     hd36395_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd47761v       hd47761v.dat    hd47761v_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd50167        hd50167.dat     hd50167_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd52533        hd52533.dat     hd52533_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd57884v       hd57884v.dat    hd57884v_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd60826v       hd60826v.dat    hd60826v_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd65079        hd65079.dat     hd65079_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd72055        hd72055.dat     hd72055_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd76082        hd76082.dat     hd76082_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd79097v       hd79097v.dat    hd79097v_mags.dat    Stritzinger et al. (2005) PASP 117 810S
hd84971        hd84971.dat     hd84971_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hd97503        hd97503.dat     hd97503_mags.dat     Stritzinger et al. (2005) PASP 117 810S
hr0718         hr0718.dat      hr0718_mags.dat      Stritzinger et al. (2005) PASP 117 810S
hr1544         hr1544.dat      hr1544_mags.dat      Stritzinger et al. (2005) PASP 117 810S
hr3454         hr3454.dat      hr3454_mags.dat      Stritzinger et al. (2005) PASP 117 810S
hr4468         hr4468.dat      hr4468_mags.dat      Stritzinger et al. (2005) PASP 117 810S
hr4963         hr4963.dat      hr4963_mags.dat      Stritzinger et al. (2005) PASP 117 810S
hr5501         hr5501.dat      hr5501_mags.dat      Stritzinger et al. (2005) PASP 117 810S
ltt1788        ltt1788.dat     ltt1788_mags.dat     Stritzinger et al. (2005) PASP 117 810S
ltt2415        ltt2415.dat     ltt2415_mags.dat     Stritzinger et al. (2005) PASP 117 810S
ltt3218        ltt3218.dat     ltt3218_mags.dat     Stritzinger et al. (2005) PASP 117 810S
ltt4364        ltt4364.dat     ltt4364_mags.dat     Stritzinger et al. (2005) PASP 117 810S
sa100-162      sa100-162.dat   sa100-162_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa100-241      sa100-241.dat   sa100-241_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa100-280      sa100-280.dat   sa100-280_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa100-606      sa100-606.dat   sa100-606_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa100-95       sa100-95.dat    sa100-95_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa101-24       sa101-24.dat    sa101-24_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa101-281      sa101-281.dat   sa101-281_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-282      sa101-282.dat   sa101-282_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-311      sa101-311.dat   sa101-311_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-324      sa101-324.dat   sa101-324_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-333      sa101-333.dat   sa101-333_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-363      sa101-363.dat   sa101-363_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa101-389      sa101-389.dat   sa101-389_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa102-1081     sa102-1081.dat  sa102-1081_mags.dat  Stritzinger et al. (2005) PASP 117 810S
