Title: UBVRI Light Curves of 44 Type Ia Supernovae 
Authors: Jha S., Kirshner R.P., Challis P., Garnavich P.M., Matheson T., 
         Soderberg A.M., Graves G.J.M., Hicken M., Alves J.F., Arce H.G., 
         Balog Z., Barmby P., Barton E.J., Berlind P., Bragg A.E., Briceno C.B.,
         Brown W.R., Buckley J.H., Caldwell N., Calkins M.L., Carter B.J., 
         Concannon K.D., Donnelly R.H., Eriksen K.A., Fabricant D.G., 
         Falco E.E., Fiore F., Garcia M.R., Gomez M., Grogin N.A., Groner T., 
         Groot P.J., Haisch K.E., Hartmann L., Hergenrother C.W., Holman M.J., 
         Huchra J.P., Jayawardhana R., Jerius D., Kannappan S.J., Kim D., 
         Kleyna J.T., Kochanek C.S., Koranyi D.M., Krockenberger M., Lada C.J., 
         Luhman K.L., Luu J.X., Macri L.M., Mader J.A., Mahdavi A., Marengo M., 
         Marsden B.G., McLeod B.A., McNamara B.R., Megeath S.T., Moraru D., 
         Mossman A.E., Muench A.A., Munoz J.A., Muzerolle J., Naranjo O., 
         Nelson-Patel K., Pahre M.A., Patten B.M., Peters J., Peters W., 
         Raymond J.C., Rines K., Schild R.E., Sobczak G.J., Spahr T.B., 
         Stauffer J.R., Stefanik R.P., Szentgyorgyi A.H., Tollestrup E.V., 
         Vaisanen P., Vikhlinin A., Wang Z., Willner S.P., Wolk S.J., 
         Zajac J.M., Zhao P., Stanek K.Z. 
Table: Natural System UBVRI passbands
================================================================================
Byte-by-byte Description of file: datafile5.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label       Explanations
--------------------------------------------------------------------------------
   1-  1 A1     ---   Filter      Filter  
   3-  6 I4     nm    Wave        Wavelength
   8- 12 F5.3   ---   Andy/SAO    The AndyCam/SAO normalized response 
  14- 18 F5.3   ---   Andy/Har    The AndyCam/Harris normalized response 
  20- 24 F5.3   ---   4Shoot/SAO  The 4Shooter/SAO normalized response 
  26- 30 F5.3   ---   4Shoot/Har  The 4Shooter/Harris normalized response
--------------------------------------------------------------------------------
U  295 0.000 0.000 0.000 0.000 
U  300 0.000 0.011 0.000 0.009 
U  305 0.000 0.060 0.000 0.048 
U  310 0.000 0.149 0.000 0.117 
U  315 0.002 0.264 0.002 0.206 
U  320 0.023 0.381 0.018 0.296 
U  325 0.089 0.493 0.067 0.382 
U  330 0.194 0.592 0.148 0.459 
U  335 0.326 0.673 0.250 0.527 
U  340 0.465 0.745 0.362 0.591 
U  345 0.595 0.815 0.472 0.659 
U  350 0.713 0.876 0.581 0.727 
U  355 0.814 0.924 0.686 0.794 
U  360 0.897 0.965 0.786 0.861 
U  365 0.960 0.991 0.878 0.924 
U  370 0.997 1.000 0.953 0.974 
U  375 1.000 0.981 1.000 1.000 
U  380 0.943 0.924 0.985 0.983 
U  385 0.816 0.808 0.888 0.896 
U  390 0.616 0.632 0.696 0.727 
U  395 0.384 0.421 0.448 0.501 
U  400 0.189 0.230 0.226 0.281 
U  405 0.071 0.101 0.086 0.125 
U  410 0.020 0.035 0.025 0.045 
U  415 0.005 0.011 0.006 0.014 
U  420 0.001 0.003 0.001 0.004 
U  425 0.000 0.001 0.000 0.001 
U  430 0.000 0.000 0.000 0.000 
B  345 0.000 0.000 0.000 0.000 
B  350 0.000 0.005 0.000 0.004 
B  355 0.000 0.040 0.000 0.027 
B  360 0.007 0.130 0.005 0.092 
B  365 0.040 0.255 0.030 0.188 
B  370 0.113 0.383 0.087 0.296 
B  375 0.215 0.494 0.174 0.399 
B  380 0.331 0.586 0.280 0.494 
B  385 0.443 0.661 0.390 0.581 
B  390 0.545 0.723 0.498 0.660 
B  395 0.631 0.774 0.597 0.729 
B  400 0.705 0.816 0.683 0.789 
B  405 0.767 0.851 0.758 0.840 
B  410 0.821 0.884 0.823 0.884 
B  415 0.866 0.913 0.876 0.921 
B  420 0.907 0.940 0.921 0.952 
B  425 0.938 0.960 0.953 0.973 
B  430 0.963 0.978 0.977 0.989 
