SN2004ef 1.379 0.063 25.04 1.28 24.36 0.29 24.36 0.29    
SN2004eo 1.365 0.052 26.10 1.60 24.53 0.37 24.53 0.37    
SN2004ey 0.930 0.012 33.88 0.78 30.93 0.25 30.93 0.25    
SN2004gs 1.613 0.075 28.64 4.63 21.36 0.35 21.36 0.35    
SN2005ag 0.920 0.176 40.10 2.10 36.56 1.52 36.56 1.52    
SN2005al 1.166 0.034 27.99 2.28 28.81 0.17 26.77 0.49    
SN2005am 1.514 0.074 21.82 0.60 22.12 0.16 22.12 0.16    
SN2005el 1.348 0.041 25.87 1.02 24.57 0.30 24.57 0.30    
SN2005eq 0.773 0.028 37.35 0.95 32.55 0.61 32.55 0.61    
SN2005hc 0.912 0.091 31.87 3.34 35.86 0.80 32.17 0.80    
SN2005ke 1.762 0.043 14.87 1.30 12.40 0.18 12.11 1.30    
SN2005ki 1.371 0.051 26.95 0.67 24.06 0.60 24.06 0.60    
SN2005M 0.844 0.067 35.80 4.13 33.25 0.45 36.09 0.45    
SN2005na 0.944 0.115 32.74 6.18 33.73 0.41 31.06 0.41    
SN2006ax 1.016 0.019 33.12 1.71 29.04 0.27 27.89 0.27    
SN2006bh 1.428 0.047 24.40 1.77 24.27 0.20 25.40 1.30    
SN2006D 1.388 0.012 25.31 0.64 24.71 0.18 23.98 0.66    
SN2006et 0.847 0.061 35.67 1.12 31.07 1.19 35.67 1.12    
SN2006kf 1.583 0.044 22.71 2.43 21.90 0.47 21.90 0.47    
SN2006mr 1.776 0.036 9.74 1.24 9.43 0.19 7.57 0.36    
SN2006ob 1.452 0.162 -1.00 -1.00 24.02 1.50 24.02 1.50    
SN2007af 1.203 0.033 28.20 2.25 27.50 0.35 28.49 0.90    
SN2007ax 1.958 0.111 14.11 1.81 10.99 29.29 9.34 0.96
SN2007ba 1.851 0.040 16.21 5.22 15.95 0.38 15.95 0.38    
SN2007bd 1.234 0.062 35.84 2.32 32.04 1.13 25.39 1.13    
SN2007jg 1.311 0.092 32.62 2.69 27.90 2.02 28.86 2.02    
SN2007le 0.971 0.062 30.06 1.31 30.78 0.30 30.78 0.30    
SN2007N 1.779 0.070 11.12 2.05 9.61 0.37 7.83 0.87    
SN2007on 1.860 0.019 17.78 0.53 17.15 0.20 16.74 0.20    
SN2007S 0.947 0.026 39.19 0.70 31.01 0.83 31.75 1.56
SN2008bc 0.823 0.029 32.93 1.55 31.39 0.20 30.00 1.31
SN2008fp 0.838 0.044 36.54 6.92 36.38 0.21 31.17 0.46
SN2008R 1.823 0.033 19.85 0.55 -1.00 -1.00  19.85 0.55    
SN2009F 1.966 0.052 14.16 3.36 12.24 0.25 10.41 0.25    
